"","A01","A02","A03","B","C10-C12","C13-C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31_C32","C33","D35","E36","E37-E39","F","G45","G46","G47","H49","H50","H51","H52","H53","I","J58","J59_J60","J61","J62_J63","K64","K65","K66","L68","M69_M70","M71","M72","M73","M74_M75","N","O84","P85","Q","R_S","T"
"A01",2630.57959435096,144.293178632221,0.0226107216163417,7.77820104504694,35806.8347082809,66.7703010156063,4.39851766395591,4.76187697160273,1.0159750211875,8.4515642939532,153.667807210874,113.2420703298,415.4241378188,4.96641875192008,3.95564874476649,21.5734787296028,5.94575020526253,6.41094480866538,15.3084766389201,46.8533574582648,1.45487821042441,3.8988937499888,2.86023825335266,12.8460988241737,1.03925017946546,6.27074020881379,45.1990985035785,1.93175545442039,178.083731592795,62.6380580471557,2.975356356819,14.9194961807361,0.504314209818207,7.29253269050794,0.939643208162955,518.470509517725,0.794688377142805,0.831043848626447,2.57845013526437,2.39670573099149,3.56001275362587,1.99470868953317,0.262795915114507,72.2604916476449,3.09293408065955,1.39024670620833,7.01639118055135,0.537003757205053,5.76846718147251,285.974603842149,513.110173850755,31.2331001504274,381.408132219018,64.6500779970043,0
"A02",49.8966863197371,953.594340699075,0.0210545141893271,20.0565147413489,16.234136377643,1.03277011156956,1805.7397332997,113.910565214593,0.490479338199449,0.918425750052153,24.4520900842541,2.48178245297284,24.912797298376,4.56997593679814,2.55319852527081,18.3400906746547,2.73131427155439,2.33180452951835,8.62372893072361,7.34896858783252,9.66021740160827,110.373043468558,2.18129030984092,5.45527962952688,0.270262256320621,0.914567885203483,110.853713164669,0.37770364067353,2.68156474945439,2.76483543097867,0.478252109189344,0.013239005356479,0.0204090117850157,1.00087715646739,0.133551658828325,9.40010141765192,0.0993022167646186,0.214855714410439,0.613415218950618,1.19187146289423,0.317286932936239,0.153771565756655,0.0658089993582424,2.26017332361893,0.382337565341801,5.51334468974041,0.407419787872046,0.994274389874728,0.510382720204521,19.7542869539242,8.30580991981469,2.17824647282452,6.97059456914022,25.011748395461,0
"A03",0.0275807365680767,0,6.33484039706179,0.0261042495776066,87.7975792194807,0.00822832715578838,0.00380563988669918,0.0214427309556966,0.0151677093081603,0.00306903052206909,0.298868770099953,0.322053643143574,0.0251452988770257,0.0181223627990857,0.0177934925515324,0.07003192468968,0.0445214799395886,0.0604700124765661,0.105926255112939,0.173891858423498,0.019232915358721,0.952206585793176,0.0459562390991654,0,0,0,0.0818930443001681,0,0.41837421795181,0.144231384460058,0.00409892905524846,0.233959947304967,0.00771171286353337,0.00473073686000082,0,17.7672053961476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267522429746321,0,6.50436821211771,0.778508074235387,0
"B",14.0193724855547,0.542766956880057,0.056818035376948,29.7455415184968,71.4961976625682,7.11381964549206,8.2829665497907,19.6380845547152,2.80008565005641,1217.58844040502,102.48640071695,7.9530693335668,30.0891545309146,96.7945363606486,237.479254080097,31.2380364783327,12.6759064643987,34.6807455737526,61.6790588082125,81.1110726817891,8.78603551042132,13.7145177958643,13.6124460641494,428.636841092478,5.64591660198416,13.1486890919403,149.308203759142,8.65113426525862,30.6755561832449,54.1203393376814,16.866075795162,6.90613590059642,9.69722069291193,13.4399860535179,2.37351389215254,24.7646427465862,2.39821840965887,1.91629413107504,10.8482185807535,6.60021094684284,16.6266006803831,5.95830532914623,2.1021638709274,28.6952318352921,13.2231277449386,11.3210135316097,4.11261969465474,2.10483149669399,2.64930090245906,17.518937336362,42.8471562661182,8.76071385828505,30.2162900035529,13.3210612765963,0
"C10-C12",3878.78426487921,5.27509494145425,0.536008640425934,20.6244097904458,31650.821324612,84.2060602719045,42.702247043618,63.7290340090236,26.3781294454401,147.737015779205,2603.55202177284,497.947457907678,121.101203695868,78.3400043668057,112.63615702919,153.810184149182,142.283618408413,145.591445226339,277.079479084612,342.989383505292,43.3376253612769,149.189945917878,84.2055561288668,86.8417097370066,5.32057426169126,44.3726156026784,535.217794273415,38.2930568664371,345.003230512504,234.140774086267,37.25289852399,185.250220836624,29.3806663199439,58.798525647982,7.04096208301266,12033.2516682826,13.3258807232756,19.8871655560576,55.323948558568,42.1781901577385,68.4546834798636,23.2203466349304,7.50031295194061,114.931946314176,54.5882444165187,35.9558737507385,58.6339426277795,9.09761640466058,21.6537201013723,81.4231241146027,2496.64995584983,382.110873799902,7562.30243650094,262.409941905914,0
"C13-C15",18.2632618477843,0.957828187211952,0.112356584530527,1.36001117849558,65.3418032895547,10.0355562444889,8.04399606317942,11.7967425303552,4.54533673708304,6.73375719168278,28.5579282659477,12.1658624151795,34.1560763389375,10.4255812833258,11.5209695795966,29.6495562536413,21.2425138630319,29.3800079599869,51.5674305377777,87.0933353001356,8.87827778647528,18.7457858647242,11.1071374294189,13.2661419453345,0.928084931381643,7.13029017270565,115.111802817098,9.95740625925908,26.0314255708047,33.0382899436464,6.82792923944377,1.61409581418869,1.64785239697755,7.33693920445952,1.56842284613839,30.7046983000021,3.99148726018016,1.74004474052567,9.62561015644148,11.2757570318641,13.2075222006555,4.56513503671367,1.87347591057421,19.0112497632959,10.5416492064526,7.09436249399233,3.29693339648221,2.10927303935255,2.67042442185908,23.8412118684665,22.9018250211605,6.60658870489136,60.7302514570954,15.7066722664438,0
"C16",77.6154258909045,166.465897072393,0.899221264563455,66.099733447245,229.289465900582,31.1381472156906,4780.40765434529,337.363633850741,13.8322777611917,20.6066540131911,230.803632901981,53.0937994443578,141.35155653712,99.7898164297273,100.421098629376,263.745759963912,102.569386802549,96.3929368184311,351.638470241132,332.189936444402,375.800005985748,1755.35851223083,75.355676609477,226.581866178502,10.8458190359948,39.2250161649476,4091.37177116916,22.3775969607447,105.079393160784,110.907725491413,25.0454246616346,1.45316105714335,1.19629453690658,43.3742055951051,5.23611896805104,82.1065436080829,2.84867050567722,8.80309008689843,27.5610709307751,9.56732847699549,14.453830795241,7.3711356893743,2.88466462451072,105.391941223841,19.0900193638285,25.0675732569427,11.8553989160265,39.2299073859119,20.8547939052113,202.78267894112,113.230472746995,88.1858437150737,71.7210372048305,568.456537802187,0
"C17",41.6517039462398,7.05272734547558,2.19312221947397,75.5065002042512,2365.39490836017,210.15823911583,184.75110735434,8325.32065945376,2807.99005187804,73.2673725263492,1148.08051092309,389.658811142237,356.880142232346,217.722081614033,69.8926925475552,257.764585774645,307.512813754126,366.350968090883,315.182876296675,223.596623818714,51.0765706042572,322.503695099589,73.9734812486911,74.360856193161,4.45065368808824,20.1252241790317,420.658104408024,21.1263552567675,786.487494958204,796.128652803398,25.6995347440186,4.53235460725428,6.10572184230806,45.5584693668046,15.5580113444324,66.9454935058625,268.251149495053,19.652572355507,34.1969721937278,114.313386602154,124.54898127612,23.9477566059274,6.95404154439266,35.1947094161501,201.14365357839,107.30326342965,43.9791615009885,72.5792141257764,82.5655746753891,233.081745694828,101.940697271292,45.8059570917716,289.592579560834,82.500746546634,0
"C18",33.0929893611128,6.11870519828974,1.12810201176582,21.1368323584845,251.501962491385,143.935184918561,62.6882053545298,188.395758964906,2630.12453847189,38.6868751652591,184.384668127136,92.0354213343632,132.118945457945,66.2256690176186,120.440872873318,162.486977570483,202.399553916083,205.174396389738,378.293461946853,549.949272280907,51.9895570156078,229.516901993865,60.8285790450508,102.111964987199,11.1143365905599,122.990645546518,136.498118052204,202.49302915249,522.005140695112,2171.843532928,111.711598562897,6.71991239663021,16.0875649986274,62.8091705754284,244.019104972276,72.318842000281,3137.87230706885,516.3836308411,509.809511987447,1039.37652064032,1105.25263350483,192.276773100287,17.02741830754,80.7618299942421,814.965453021606,248.809668714815,72.7591216398201,216.800748888503,201.73390221262,881.9159059241,916.932634468563,311.884099211939,430.022070955217,343.510116126252,0
"C19",797.52041364992,31.4946054989998,4.44754328522212,133.047610519718,524.779638089327,90.5519250532776,86.7783710525619,121.665922993401,34.993497813815,4733.71782410112,4830.09506673816,166.353423898117,271.207010916949,450.078415503684,1386.67450578508,193.532178490976,155.314757622246,219.017272946352,354.831020761837,383.609904832263,119.23499083908,157.982837699724,86.6419446920224,1169.62809138025,22.7090896342708,163.906425080044,1826.65478613228,126.314509944523,1509.76458399176,445.463468671174,1095.12926568742,1034.53534278051,3680.71904629698,1181.07546550783,183.13428845118,178.886168840102,65.4282367731071,58.8895237843155,67.822485419534,117.165001344939,57.6128481958589,23.7683095677286,17.4519744600021,47.4585341936002,138.675510060441,58.1235309491823,40.6766990366624,25.4654169134336,54.4725368307712,364.298967536567,853.680137784149,145.651570199968,349.178983384842,336.222076282915,0
