"","f","fmin","fmax","f.maxF","f.maxX"
"A01",21457.8514874563,0,19312.9309563384,19312.9309563318,19312.9309563384
"A02",3034.75956738949,0,2731.28361065054,2.42735447577309,2.42735447560805
"A03",366.298763391874,0,329.668887052686,329.668887052713,329.668887052686
"B",11531.103620829,0,10378.7209595427,5458.07203762294,5458.07203762161
"C10-C12",180232.806665771,0,162262.89172862,162262.891728536,162262.89172862
"C13-C15",28900.9925963562,0,26015.6569978286,8850.17246811929,8850.17246812785
"C16",16213.5602618891,0,14593.409193881,2729.69047518297,2729.69047518476
"C17",28592.4368484965,0,25736.1050203911,18318.5277062976,18318.5277062899
"C18",6631.57262556333,0,5969.7767182924,5969.7767182895,5969.7767182924
"C19",74523.2426159777,0,67094.8247268484,67094.8247268185,67094.8247268484
"C20",151030.132905517,0,136017.63293392,127369.400747099,127369.400747075
"C21",48671.2678858925,0,44715.1411859948,44715.1411859867,44715.1411859948
"C22",61402.5217662078,0,55277.5095483294,46393.5792851753,46393.5792851984
"C23",27698.668274651,0,24933.3547659332,9125.53250345768,9125.53250345499
"C24",68809.6699426032,0,61933.0641433217,13638.0200146813,13638.0200146764
"C25",79978.1531815778,0,71990.7970267068,22021.320219715,22021.3202196922
"C26",90794.4089426687,0,81760.5262745443,51803.4996872416,51803.4996872411
"C27",101223.207845581,0,91120.3508130558,35462.1273013921,35462.1273013979
"C28",259546.248942084,0,233639.888049393,96501.5283551259,96501.5283551714
"C29",363889.076447623,0,327587.653596139,105194.290857678,105194.29085773
"C30",44896.0692707976,0,40429.270656101,17330.159974594,17330.1599745855
"C31_C32",62002.0389527843,0,55836.0495168298,20361.1266929096,20361.1266929238
"C33",20364.4185149445,0,18336.3287774587,3865.58819528297,3865.58819528187
"D35",71283.8826972116,0,69638.3763790979,69638.3763790561,69638.3763790979
"E36",7303.49597210133,0,7191.93703343458,7191.93703343661,7191.93703343458
"E37-E39",30495.4821546502,0,29383.8614696652,29383.861469686,29383.8614696652
"F",246649.146526235,0,221985.998327401,36507.4198605291,36507.4198605607
"G45",41506.7043969336,0,37356.5824026341,37356.5824026429,37356.5824026341
"G46",151902.485207906,0,137004.856554378,137004.856554306,137004.856554378
"G47",150996.890546279,0,136592.144786657,121792.444614728,121792.444614825
"H49",35491.3634515928,0,15289.0004974904,15289.0004974741,15289.0004974904
"H50",29759.200316813,0,26366.7907495208,26366.7907495166,26366.7907495208
"H51",26706.1362804435,0,13268.9966047927,13268.996604788,13268.9966047927
"H52",14105.1727288435,0,10963.4814013167,10963.4814013483,10963.4814013167
"H53",4117.15799036215,0,3976.63666160402,3976.63666159795,3976.63666160402
"I",105226.449947976,0,28331.0225471143,28331.02254713,28331.0225471142
"J58",19439.4382550262,0,18702.9649706258,18702.9649706319,18702.9649706258
"J59_J60",27833.2705872948,0,26638.6958982317,26638.695898233,26638.6958982317
"J61",38263.1340048377,0,37853.0672219151,37853.0672218843,37853.0672219151
"J62_J63",65568.4484215304,0,59769.784602571,59769.7846025173,59769.784602571
"K64",83422.6843914451,0,81012.835712942,81012.8357130064,81012.835712942
"K65",61793.9102098851,0,60962.0003256559,60962.0003256422,60962.0003256559
"K66",1240.84254704748,0,1216.10021272748,1216.10021271795,1216.10021272748
"L68",322200.208213741,0,321494.916321259,132088.039461992,132088.039461882
"M69_M70",32058.2839564988,0,29076.6876235792,21528.5224512716,21528.5224512714
"M71",43973.9203818548,0,39833.4982578291,21769.6478590107,21769.6478590028
"M72",38542.3269819317,0,35358.2315004535,22398.9397217129,22398.9397217083
"M73",5827.13718595965,0,5244.93472494191,1155.53979253498,1155.5397925274
"M74_M75",13788.6022226886,0,13307.9844801712,13307.9844801633,13307.9844801712
"N",51155.9606943242,0,49022.5300548712,18589.1050828141,18589.1050827918
"O84",269853.634348114,0,269318.264387131,269318.264387273,269318.264387131
"P85",183680.355849628,0,182457.80416247,182457.804162488,182457.80416247
"Q",367113.497084772,0,366661.984018067,366661.984017909,366661.984018067
"R_S",144059.737495201,0,137891.080983831,44044.563897193,44044.563897205
"T",9955.779,0,9955.77897104771,9955.77897104771,9955.77897104771
