"","A01","A02","A03","B","C10-C12","C13-C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31_C32","C33","D35","E36","E37-E39","F","G45","G46","G47","H49","H50","H51","H52","H53","I","J58","J59_J60","J61","J62_J63","K64","K65","K66","L68","M69_M70","M71","M72","M73","M74_M75","N","O84","P85","Q","R_S","T"
"A01",1993.07900338613,6.466555912478,14.8356032560026,1.47446824855474,27375.8744395269,535.323946685839,3.26612524233755,47.422218784444,3.49483161725909,2.47622785213684,179.276271163017,24.1593054954815,181.601173443202,4.0568356530204,4.37011058102551,6.2953856561845,2.00598869706089,2.13763553882867,5.05612135842466,7.59296147600247,3.24304556530754,7.2677921047421,2.33737013260482,21.6050320395883,2.10833929580509,3.22434196892495,159.187751428526,6.34229480403425,806.820078979639,336.166083026485,10.7328010469566,1.5911102255643,2.88559155426479,16.2518531127497,0.959907313409149,933.435275045506,1.55362894068132,7.43946292959929,8.66483374824103,5.41799453656094,8.22952286181791,1.7362595214458,0.854176158030703,21.638376948142,7.58488797403779,6.06632473336613,5.01071780237084,2.6561047308359,1.63910556842517,27.698422891688,88.9222966359711,57.2417757002397,117.128800098593,144.470505588012,0
"A02",12.3789268371057,47.2326853515312,0.0252342627715019,1.20077316454824,54.3645411050446,1.10170959808866,166.562142456604,380.184341670847,0.00346509368121363,0.110410543290588,6.44367587441124,14.3533035202784,52.1114537627442,0.0462281107255877,0.0656082513705653,0.0455968601750743,0.00657179177498743,0.036607478421026,0.023720364216735,0.0341590452584585,0.028761127140783,3.49029414695398,0.0074035256445517,41.0649604324963,0.0891293984978182,0.202217770079699,0.567193289571001,0.00177292681323488,1.41519927898905,0.563678686746882,0.00217926548959397,0.000954033731881162,0.000416861446679199,0.0589462856589488,0.000500596554023816,1.70574278964594,0.000350291950764517,2.15930482914558,0.00260634652395875,0.00212957597780084,0.0054632110556026,0.00141726549556356,0.000791049453305113,0.0281338110453204,0.00445986173788259,0.0155295079722913,0.0376945209144577,0.00527304715448577,0.00559799460830251,0.056438326119021,0.293986787033478,0.0902004531636327,0.172087167394408,0.343544152932672,0
"A03",43.1355826638036,0,84.7736117366062,0.00749283190756349,766.364797242591,2.67480862733197,0.00180043520630883,1.03643729304866,0,0,4.40719534664877,3.045751914662,0.148656151356321,0.0763018326345576,0.0910271708073015,0.0130101603225081,0,0.0033129013874467,0.00275631056481314,0,0,0.483428710934569,0.0288812747307821,0.64063408178768,0.00233393092460348,0.00446952238607972,0.307691781537259,0.342590281825074,3.3781638806079,1.8857476578173,0.00129058770180438,0.0285491902857301,0.024553783209551,0.39426606772147,0.000874357108831847,513.149630576112,0,0.0676835383323728,0,0,0.0084413467912143,0,0,0,0,0.00962246781081609,0.156641496856253,0,0,0,9.09767833120665,21.6636689027443,31.0783504474545,2.07311813218844,0
"B",3.65407754413287,0.0638740404181089,0.360324479608583,1.34458220562299,11.5878432017954,2.8023448707568,1.04434546093139,2.04938136559081,0.712884441321981,220.093248684603,27.4475629732481,3.87961837887788,4.04137813001428,7.62823772232797,34.8270493427572,3.6184270661156,0.631159352518037,1.41817887438623,2.36269638700146,2.67534855316683,1.03526862135905,1.68831787749025,0.849876004141838,76.0266223644861,1.04426999392684,1.59861509785456,45.5773100661124,2.19181421958083,5.90385787557578,2.02279323783659,5.90915120614605,0.309957983035392,0.963126915509964,4.55400992454143,0.122018350154149,8.48084341541974,0.486595641380468,0.745092352244044,1.87171688510602,0.592231759788991,0.547020177938557,0.166374627296472,0.160486303621139,3.95720451440595,0.453257336315386,7.0174801515932,0.418510570453273,0.655739121166117,0.345048021612764,2.0146752487814,3.77323413198091,1.35450976230876,6.96237406667203,1.86219327457056,0
"C10-C12",12026.5093791211,2.17273473869501,256.174311665463,31.3895632060256,52716.2275864833,802.930126916709,42.1850696073988,332.265420528046,55.7176705710729,21.0293870933071,1246.98257334709,396.157934593129,118.535368006527,83.8157853481517,105.430404600823,129.079302561378,33.5210052671457,60.5566786046839,99.5799754495883,93.8670976930195,49.0006448883594,76.1879509791557,41.4776319080579,596.299815990468,41.808894751503,48.3836086468979,680.267102760496,119.47702863613,1470.32514197331,946.718795770638,191.968216082131,28.4502722708055,52.8259849229925,207.663807447498,16.5406597122536,22238.3970882703,48.4529820765536,82.4818259521031,146.220909994386,122.555489168407,100.430168419337,16.5318456676928,12.5823000418146,67.5124056367679,111.167868108845,92.4991942422274,39.7231106580387,46.8313905509984,99.1502706070205,263.618816203336,672.947442500746,524.601550282052,1553.60364188884,573.30850319159,0
"C13-C15",62.5105512922924,0.493681169905236,13.0780453653925,10.5879304336566,261.61068014634,1339.07274703047,20.7523318124537,66.8773244812888,34.0298966962877,7.59284267873698,168.390074864426,36.9418984106887,143.088035481401,24.9011347645558,61.2607743692066,59.3090856226228,14.8051939006375,38.941599775555,52.5475033138935,255.295672991435,42.4467980892495,90.3771012120829,12.2238954272123,86.11542353594,15.5834382639826,28.6620899299493,223.622337440471,37.3320655438592,201.932828549914,86.3399637270813,47.1774211310151,4.92367830842654,20.394394117629,42.131978589438,4.34292296087258,248.566964319447,22.0912568777963,44.564429738421,50.6351011325393,35.7831233706415,24.775341881541,4.9088012864116,2.8775482006017,20.2834329666057,29.824068080079,42.0996822191061,7.66189590726141,17.1925036167054,28.0643362342312,94.3871286418667,94.5622027506001,41.376163544725,189.266492035946,131.026124786447,0
"C16",40.774805275965,0.271455178876011,7.63317871373811,64.8113887558715,542.77707257131,40.4892739395022,927.121648321466,81.6103200002053,13.8296360164632,2.6607628345199,141.56116238136,23.5747218924351,58.4418794815976,93.721123087809,120.39917687139,108.798127035252,16.6208697085534,83.7712404999462,62.2277323903263,85.2388608321672,65.7673011418562,676.827925104935,17.7838784243159,51.5259879715161,3.91786574893973,107.320786594987,806.454269417281,8.20277337932267,165.254107581732,25.3705773628773,10.97584164962,1.1996661533522,3.67512346826683,99.4173468987211,1.44001408645025,189.888410670899,8.12144809204694,98.1051745455511,16.9701837548078,8.66926577337757,8.06310703317549,1.7545466111313,1.16521696269814,9.78713996076132,14.901812576279,36.1034588535309,6.87633773384771,13.7798234937018,18.3464049402257,110.164696844981,35.7219212086864,19.5148383755301,97.4246959104589,94.279520355805,0
"C17",37.7701136554427,0.138008671862561,2.51308564351307,9.1760747272859,1413.20092016232,128.317534327082,54.3244463396504,2431.20184645802,568.624155411933,7.81672388205623,252.041185162646,61.8246845404151,299.855428805276,97.1750230104549,52.9634617122164,81.8290261162162,22.1879812420784,65.6601221417837,46.8135341457733,108.375471509219,36.1352788517826,79.6622219008246,19.3095092815059,150.248609701986,12.0786480219412,513.741990569028,79.0932474856028,18.7194965138506,168.950193254349,61.5834799564888,18.681463475475,1.62049942275789,4.68751963541796,46.3371637080701,6.18556737783211,123.220148138545,782.704553884658,63.7380010377374,34.7230556212843,60.2800255804019,111.925897658293,23.6769928526684,22.0116904250724,24.547141042365,56.4120036791645,205.166638640895,14.8628077179469,132.922310799252,41.2453397018143,125.929423004717,142.720402353683,201.535997028158,124.432785328692,143.308853954967,0
"C18",12.1200785685768,0.0587955450826051,0.615612991382382,5.52468391263214,307.021344073993,84.6537691540092,9.95897168902922,210.501565291568,1020.95217978281,11.5244830684013,393.754583773706,364.706363756506,103.463351880215,55.5793101678567,62.3204602097097,89.9696098957326,45.1550008119701,44.4052065036077,35.5048600289718,84.2253776679551,26.632092135156,18.4921406564899,36.754940604644,162.413906535641,29.2322893048596,21.2431427387521,131.435626507968,11.1897492488235,386.981950738002,112.401698324853,16.0374456527359,1.55693281539319,5.50171458861049,41.4148738213937,8.37505054563155,134.638446563262,989.865743372044,78.571242184574,55.4830546709364,986.634938114757,144.789195580407,45.2969695653979,11.5322824695658,74.1014959338217,115.32799986553,933.133593986273,22.8804034878521,687.162713426435,24.3501629401235,313.069053180546,189.441384633761,89.5421362815754,136.406468997441,509.331574702148,0
"C19",200.66062141005,2.3849436085538,79.7361335949182,118.929522291357,354.070819806458,74.0788991120848,29.3802691227044,74.3345405722674,17.6450346196897,5071.90726565165,3071.6431877729,147.134252697044,182.410112750785,88.3902048198051,263.282943090763,83.6791989497616,14.0319939871362,49.1768107041349,65.2394425015923,108.048579039318,41.1487320923995,35.0410373712231,18.4016704211466,4050.19045211229,87.9711583508292,52.1105344497547,265.75937999112,213.136615280835,366.770489326485,89.1898377766178,1070.77189611223,348.236701310549,1328.70187044465,254.515784663688,17.01702887746,165.046096007605,18.3614026657723,47.3301406448368,35.8691501470942,15.6334988373168,32.1754643781151,17.4830882876834,22.1565364852098,33.0175587470689,89.6150823445821,43.3780372895495,23.6809819922319,10.44894315556,6.89659818642717,89.8105612622508,242.842073165222,171.605617415813,225.278582694771,75.0722253338785,0
"C20",596.260644755592,3.28636815270088,22.9712472073925,243.218117327909,1376.32544971399,542.305079133014,107.087810820933,594.041747505793,152.648536741134,763.742417017163,9818.563232251,1684.56859349918,1689.28192209653,326.508832327529,1693.81038701239,608.328567382984,119.995029693227,392.818846350674,322.202936039586,911.085621077911,267.698988890747,173.522838439162,86.0295706715918,1214.9531889001,472.884169860233,214.220976606672,1427.42436442023,401.32163164077,470.967852435191,294.411659588045,269.680231399064,22.9933574365683,71.2480769058103,243.33857957801,12.7836976255863,744.242038986512,57.1943493249806,183.53352007471,104.72854149269,89.5203649275041,82.6956935220547,16.3169638708656,8.9982458817753,55.8868469932788,78.7373483087966,215.06013729734,37.9109779908254,51.1556469519989,110.155740673276,350.570361807743,315.953594369281,93.6757617232875,1209.00818018224,271.637370637036,0
"C21",193.834540552755,1.10505736547408,6.60206571095787,11.6583073695653,414.739579837514,55.1293581810878,20.7880376478152,66.4895617244362,25.6997965350468,17.7227650868585,320.162447263695,256.600461235929,63.7575041090176,23.8582961152899,58.2822848147157,60.3872310412744,13.1611036536206,24.8943961700294,38.9086752188977,38.4143045328977,18.2914298051427,43.6113995223263,12.6085137639522,101.225850913481,18.7699681738845,30.2930435873631,226.071475733827,44.2590717058823,137.865349801095,100.248150032471,70.6968786249663,4.40867981063065,8.20233540123339,32.6863561119239,3.3069891186083,264.816371554954,25.0714931827531,24.7886547011145,43.0071158677284,23.835776684815,23.0444825138041,4.0140996736218,4.0458434695601,18.4866158301768,23.1482578760814,31.9682322545199,12.6249005023221,15.9686633866557,26.9877985672112,61.4717535253236,63.5848504072802,29.3148778340796,808.622416211429,65.0332638604083,0
"C22",131.522875041829,1.01218370646496,19.6039270626454,39.3421022462328,1211.3272193748,278.776167156294,80.7228565247111,173.163464859451,95.2059247061868,8.01300945572023,1089.51288218995,212.045851408556,2146.91041374715,120.5894253801,170.394301646635,291.494470753257,112.365353427607,575.375218514306,262.957377810123,2066.79590438485,559.501179130263,255.727755984174,75.912056677685,65.9569317671417,9.2075941263625,69.4552162767772,699.607081845536,417.682723084371,193.102056838887,76.9937253567909,85.5851697776193,2.50824656205265,7.01271686219008,137.955595689281,2.93065090337522,150.102976696078,23.4895149485542,43.0894130152256,34.2802131590838,26.0951109200634,23.48008852279,3.98509542781544,2.48126245743255,28.3563276776043,18.4649689496468,44.2388864287246,12.9035260657742,21.3770399776055,16.9311509262438,54.7172117728141,64.8597996377146,23.7048263035028,148.807086016618,155.289199823356,0
