"","A01","A02","A03","B","C10-C12","C13-C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31_C32","C33","D35","E36","E37-E39","F","G45","G46","G47","H49","H50","H51","H52","H53","I","J58","J59_J60","J61","J62_J63","K64","K65","K66","L68","M69_M70","M71","M72","M73","M74_M75","N","O84","P85","Q","R_S","T"
"A01",0.0360436869742804,0.00505141879166671,0.00409000116928575,0.000182906143937239,0.154009395744901,0.0201548951839195,0.000427106953260301,0.00291783041207507,0.000327824798597632,4.09650807844938e-05,0.00276184636990251,0.00127270662939404,0.00779070469040121,0.000197573151767818,8.21785762258575e-05,0.00017278012483815,0.000219427995500703,0.000103742460821528,0.000161349630343703,0.000116374629036529,0.000155809328234046,0.000457252025698215,0.000171349252492929,0.000179233222162761,0.000169933791297409,0.000150879692192668,0.000974338961696072,0.000175749503957262,0.00638191775665208,0.00333317739297781,0.000165186780882925,0.000376240557965767,0.000215387769375652,0.000299362821147252,0.000158403462930797,0.00630517486583911,0.000157123881218356,0.00048594599700728,0.00019202612785337,0.000146770142173165,0.000151736814820212,7.02072982882573e-05,8.04402587849432e-05,0.000125978034671005,0.000201607820184866,0.000206731001535486,0.000593332737801969,0.000222393714150737,0.000218221744471049,0.00041220633116054,0.000795776578018304,0.000660983387022881,0.000947320832481474,0.00207889671922713,0
"A02",0.000223865769112072,0.0368963135237435,6.95678918211486e-06,0.000148954573613988,0.000305840463435492,4.14792605674824e-05,0.0217811149036753,0.0233922718665754,3.25035298569457e-07,1.82655922453005e-06,9.92682562344717e-05,0.000756128711869622,0.00223558548414344,2.25136887897492e-06,1.23374285074407e-06,1.25142947923096e-06,7.18865015613658e-07,1.77661244252573e-06,7.56958096270984e-07,5.23543578188677e-07,1.38180355743303e-06,0.000219591320992246,5.4274184790426e-07,0.00034067087532275,7.18389902086804e-06,9.46256792845253e-06,3.47161459272021e-06,4.91290641015868e-08,1.11941753100686e-05,5.58902622969285e-06,3.35407177809708e-08,2.25594794021155e-07,3.11155807918271e-08,1.08580395408392e-06,8.2608212877317e-08,1.15219628531154e-05,3.54262394465527e-08,0.000141045872258725,5.77606732433255e-08,5.76889044315614e-08,1.00731264520066e-07,5.73084727090966e-08,7.44954329821787e-08,1.63794273100469e-07,1.18544005709519e-07,5.29221707965455e-07,4.46351085342034e-06,4.41508396850379e-07,7.45287047091787e-07,8.39911912578426e-07,2.63092394392184e-06,1.04156449225678e-06,1.39181617619429e-06,4.94351985226707e-06,0
"A03",0.00078008219260043,0,0.0233710867798388,9.29477452448153e-07,0.00431136472386358,0.000100706287948963,2.35440572070283e-07,6.3770703509515e-05,0,0,6.78951898688534e-05,0.000160449506878619,6.37736063963761e-06,3.71599809522634e-06,1.71173775951834e-06,3.57070598602485e-07,0,1.60779766311848e-07,8.79586661827295e-08,0,0,3.04148432109496e-05,2.11724483304122e-06,5.31463737224228e-06,1.88116652491972e-07,2.09146600565073e-07,1.88328617154966e-06,9.49342059171335e-06,2.67211545872749e-05,1.86976967019075e-05,1.98632236799553e-08,6.75086056892412e-06,1.83275577841993e-06,7.26247040856766e-06,1.44286007557576e-07,0.00346622657148391,0,4.42109125714494e-06,0,0,1.55642446882848e-07,0,0,0,0,3.27918879256761e-07,1.85483461349877e-05,0,0,0,8.14162432168927e-05,0.000250155154544205,0.000251357213539723,2.98316840938256e-05,0
"B",6.60818898582096e-05,4.98958846772072e-05,9.93372171991123e-05,0.000166793924981559,6.51901269286361e-05,0.000105508015266211,0.000136567698687022,0.00012609589824638,6.68705173793322e-05,0.00364107757882864,0.000422844315472206,0.000204377399476169,0.00017337544111759,0.000371505059149341,0.000654911878331429,9.93096077580276e-05,6.90402851060284e-05,6.88262164627701e-05,7.53977528687851e-05,4.10041189333308e-05,4.97385883693076e-05,0.00010622026034581,6.23031910907037e-05,0.000630709386200843,8.41689758186415e-05,7.48055126358906e-05,0.00027896460982838,6.07367323279859e-05,4.66993030918832e-05,2.00565405954238e-05,9.09467771948039e-05,7.32939570178553e-05,7.18902013872153e-05,8.3885895908928e-05,2.01354119668858e-05,5.72864580690019e-05,4.92111042448181e-05,4.86694603360613e-05,4.14801433388888e-05,1.60431943954797e-05,1.00860160226163e-05,6.72751564033147e-06,1.51134630407928e-05,2.30387357014267e-05,1.20476695068046e-05,0.000239144912901698,4.95569761379522e-05,5.49045589117935e-05,4.59378472339435e-05,2.99822807972703e-05,3.3767136693532e-05,1.5640822449934e-05,5.63106767194348e-05,2.67965248222458e-05,0
"C10-C12",0.21749250216265,0.00169725480408708,0.070624241978754,0.00389384035330432,0.296567489541908,0.0302302421705686,0.00551648672853549,0.0204438799733189,0.00522647043797104,0.000347896313492443,0.0192104301990903,0.0208695084276336,0.00508517665385962,0.00408193732639876,0.00198258611089391,0.00354264841402794,0.00366674398700015,0.00293890082921745,0.00317777028861351,0.00143866773291097,0.00235419373836836,0.00479335325184724,0.00304066571377902,0.00494684466096583,0.00336982951900264,0.00226406009355406,0.00416370440961504,0.0033107935165251,0.011630218900202,0.0093869722345584,0.00295455133359029,0.00672747000268292,0.00394306361231854,0.00382521444270823,0.00272953205062635,0.150216074028996,0.0049002180643809,0.00538771595833929,0.00324048169569532,0.00331995288071414,0.00185174209048146,0.000668480838095365,0.00118491187322157,0.000393055366325059,0.00295486388734254,0.00315223004165,0.0047037216882565,0.00392115821434593,0.0132003364721827,0.00392316001084203,0.00602228949586964,0.00605768960345919,0.0125653220569282,0.00824977500797863,0
"C13-C15",0.00113046735204233,0.000385644286155362,0.00360546314925112,0.00131342097721949,0.00147175217576161,0.0504159603304295,0.00271375546123283,0.0041148789797606,0.00319209771814643,0.000125610982628276,0.00259413872217944,0.00194609066963776,0.00613848802862444,0.00121271752144201,0.00115198989197512,0.00162776861936113,0.00161948769969441,0.00188989063648185,0.00167688226491124,0.00391282628430388,0.00203931981922214,0.00568606146273689,0.000896116243973024,0.000714405089054037,0.00125603727583915,0.00134121236143919,0.00136872312171345,0.00103449811208079,0.00159728139860312,0.000856084030294508,0.000726099952183524,0.00116427350176155,0.0015222885755511,0.000776080603457768,0.000716667147581847,0.0016790218002298,0.00223416539866263,0.00291095021848093,0.00112215221739472,0.000969342820312733,0.000456810379691489,0.000198492029501385,0.000270987102304755,0.000118089588125669,0.000792729619112474,0.0014346923140483,0.000907265955639754,0.00143951580315351,0.00373633555301755,0.00140466380192055,0.000846248792052736,0.000477779670306253,0.00153076007476742,0.00188543523013872,0
"C16",0.000737388891914081,0.000212050094397787,0.00210437751170815,0.00803978058677995,0.00305351959279144,0.00152441727551296,0.121238493056944,0.00502138195427267,0.00129725781905661,4.40179058524146e-05,0.00218082504676051,0.00124191090030442,0.00250716124769726,0.00456434010628257,0.00226406923820545,0.00298602103158535,0.00181809804261101,0.00406553618597609,0.00198579521861681,0.00130642580502888,0.00315973328290472,0.0425825251112261,0.0013037106241431,0.000427454531533779,0.000315783034465216,0.00502196336597807,0.00493605700481421,0.000227304689711489,0.00130715403720408,0.000251556118188386,0.000168927378943223,0.000283678060550331,0.000274320405755342,0.00183129008317382,0.000237630461583556,0.0012826595118959,0.000821350202691403,0.00640823367321744,0.000376085539558958,0.000234845081793535,0.000148668422132342,7.09467540807328e-05,0.000109731878066157,5.69804593136379e-05,0.000396093121030987,0.00123035025913361,0.000814245873464357,0.00115377458257886,0.00244254218151117,0.00163946466148836,0.00031967986989878,0.00022534213533505,0.000787956881283368,0.00135666020382679,0
"C17",0.000683050772832825,0.00010780693894787,0.00069282812725023,0.00113828184940092,0.00795029288511371,0.0048311428446878,0.00710393724738951,0.149588839732131,0.0533385065835766,0.000129314725630838,0.00388282859628652,0.00325691009162072,0.0128638215896009,0.00473254950690242,0.000995961496809834,0.00224584006761439,0.00242706464662033,0.00318657812573759,0.00149390133148549,0.00166103243555298,0.00173608831885538,0.00501193647407796,0.00141555243443795,0.00124644769760199,0.000973548449340848,0.0240400162732577,0.000484105290392858,0.000518730574388667,0.00133638994171207,0.00061061681572349,0.000287523340849656,0.000383190050070479,0.000349888187288684,0.000853541067309276,0.00102073948094064,0.000832328284326139,0.0791576251789621,0.00416336861338492,0.000769516659167982,0.00163294884572797,0.00206370156468716,0.000957401632212226,0.00207290505294487,0.000142912779120184,0.00149944219782096,0.00699176297876264,0.00175994552926951,0.0111294882498256,0.00549118382269827,0.00187407440650764,0.00127722244808133,0.00232718053018308,0.00100639441099321,0.00206218082445683,0
"C18",0.000219184647114981,4.59287641391083e-05,0.00016971725457559,0.000685330885844526,0.0017272205052691,0.00318720627908706,0.00130232178502213,0.0129519007069028,0.0957681168564011,0.000190653448748344,0.00606599892318721,0.0192126469455801,0.0044385859710864,0.00270678440591228,0.001171916956063,0.00246926261207734,0.00493934553545616,0.00215504715948756,0.00113302186300062,0.00129089250782426,0.00127951590610857,0.00116343019349153,0.00269445198694705,0.00134736980436245,0.00235614531293009,0.00099405052829942,0.000804476793675583,0.000310075917416508,0.00306101328816959,0.00111449315890442,0.000246829696122198,0.000368158825056256,0.000410661734586418,0.000762871370951755,0.00138204698528329,0.000909456683223069,0.100108554501761,0.0051322764802781,0.00122959037178291,0.026727334101749,0.00266963853514329,0.00183162586845533,0.0010860286575683,0.000431416868570906,0.00306544101096227,0.0317997553593126,0.00270933087411899,0.057535633399783,0.00324185039530639,0.00465907558405368,0.00169533426937964,0.001033962762277,0.0011032358365982,0.00732916199979678,0
"C19",0.00362883187965993,0.00186302401531351,0.0219823133586152,0.0147530747738598,0.00199190835455325,0.00278906343754585,0.00384201961036407,0.00457371225364382,0.00165515268085638,0.0839062894351935,0.0473202980670673,0.00775099842391946,0.00782540825061693,0.00430471748064281,0.00495095421651209,0.00229661902074145,0.00153491010093252,0.00238661982603308,0.0020819041287294,0.00165602227054163,0.00197695535751484,0.00220460149239879,0.00134900006948014,0.0335999818826822,0.00709054396184015,0.00243845766781242,0.00162663091876011,0.00590616733660972,0.0029011413565821,0.00088434130024045,0.0164800746612963,0.0823455023417827,0.0991776301872519,0.00468823849162498,0.00280814227095497,0.00111485447794041,0.00185695231075835,0.00309160655840365,0.00079491588785946,0.000423501875377202,0.000593254622664466,0.00070694523442626,0.00208654562866439,0.000192227317721597,0.00238198658556594,0.00147825668549996,0.00280412955458037,0.000874882398399858,0.00091817617861184,0.00133655559026398,0.00217322360412493,0.00198156784698036,0.00182202066715461,0.00108027172962722,0
