"","f","fmin","fmax","f.maxF","f.maxX"
"A01",22067.8251371439,0,19878.1837463478,19878.1837463423,19878.1837463478
"A02",491.390951853937,0,449.053800090907,3.43589601214944e-11,0
"A03",2136.67496969048,0,1923.20492413234,1923.20492413283,1923.20492413234
"B",7537.43383982441,0,6785.23779655135,3846.14869784146,3845.76792459255
"C10-C12",77720.4336598518,0,69972.4117375658,5.42794964530913e-09,9006.17545631929
"C13-C15",21814.8527750755,0,19639.5159118914,6352.1476376304,6344.42216143514
"C16",2295.98393428245,0,2067.3775105863,1.28437704915996e-10,0
"C17",6858.3539085783,0,6175.11615594934,-3.4277292115803e-10,0
"C18",1167.43082275528,0,1052.15562071075,-1.84658688340278e-09,0
"C19",40746.4539049685,0,36682.4338835517,36682.4338835418,36682.4338835517
"C20",33222.2341459802,0,29919.3838722862,16772.1713194083,16759.0578251053
"C21",14848.0426201227,0,13465.8865335125,-1.60607527277534e-10,0
"C22",10667.0570463186,0,9606.34940708373,-1.34829747366894e-09,0
"C23",7815.63673957935,0,7037.22971166376,2929.52391101916,2896.70378382242
"C24",20228.1276362338,0,18208.8264743571,3319.26526764766,3548.12250322021
"C25",15735.2026533954,0,14168.1816915569,4208.10636150664,4545.54799787346
"C26",6550.19051892208,0,5900.77381418562,3894.07944076991,3889.89764261444
"C27",12291.4007890299,0,11068.1636403073,4121.53999600044,4110.21665625741
"C28",21688.196170366,0,19530.037025624,7476.42204349184,7487.58064705825
"C29",57974.0099957383,0,52199.4156539162,17015.9942299609,17026.3498475066
"C30",16762.091484457,0,15105.4697657075,6455.02703797277,6458.94209756018
"C31_C32",9101.83629266385,0,8196.85542113641,9.11583697416063e-10,0
"C33",5108.1742332809,0,4598.94829680293,1251.0168703798,1247.67100331985
"D35",24345.8111304592,0,24140.1396782898,24140.1396782532,24140.1396782898
"E36",5520.5974685046,0,5472.94429263408,5472.94429263509,5472.94429263408
"E37-E39",10269.4029709052,0,10013.4413589677,9499.71728567368,0
"F",118409.048158247,0,106690.907832263,28746.2051311712,28766.9779659615
"G45",27133.2898560546,0,24424.7117412381,21723.234584559,21797.5022689931
"G46",63330.1736167773,0,57309.5111665585,57309.5111665902,57309.5111665585
"G47",84818.3119912994,0,76755.3956293739,67414.353529285,67347.7302099388
"H49",25697.0812488604,0,15736.0275112861,15736.0275112713,15736.0275112861
"H50",2873.87675473661,0,2082.93637582146,2082.93637582211,2082.93637582146
"H51",9207.88760157005,0,6930.89904526655,6930.89904526852,6930.89904526655
"H52",12890.397893018,0,10346.4994285965,10346.4994286006,10346.4994285965
"H53",644.694203800449,0,630.239537143292,630.239537141652,630.239537143292
"I",133552.272266986,0,32682.3401593445,32682.3401593352,32682.3401593445
"J58",4001.86563643226,0,3784.38266462432,-1.2101963875466e-10,0
"J59_J60",8473.47936665698,0,8150.98882115826,8150.98882115373,8150.98882115826
"J61",20751.4524260354,0,20409.7478873961,20409.747887393,20409.7478873961
"J62_J63",25439.5295176435,0,23022.09944941,23022.099449419,23022.09944941
"K64",12844.3022414556,0,12349.9649318627,12349.9649318591,12349.9649318627
"K65",16348.6992492642,0,16219.8717359275,16219.871735926,16219.8717359275
"K66",3572.85967171128,0,3503.60013069872,3503.60013069706,3503.60013069872
"L68",120366.217599298,0,120238.914244774,53963.5190628354,53899.9694588187
"M69_M70",8884.54981228103,0,8180.90936128426,8180.90936127324,8180.90936128426
"M71",14951.7112088615,0,13568.146857791,8714.36021854507,8728.92992829183
"M72",8324.1868996638,0,7663.39946200177,4903.15801659858,4903.09606763883
"M73",1615.70974048805,0,1468.8190906296,1080.22234161318,1037.99185444671
"M74_M75",1012.66481905485,0,976.729823360262,976.729823359636,976.729823360262
"N",19230.3402381415,0,18424.6331464998,3331.06368250265,3158.96115556088
"O84",97783.0323924359,0,97071.1188568103,97071.1188568288,97071.1188568103
"P85",79751.7575235516,0,78962.8685867016,42840.198554936,42825.83208466
"Q",112240.458459213,0,112109.058928598,112109.058928619,112109.058928598
"R_S",51660.5735497145,0,49461.0939522697,21332.0787903901,21310.4708780292
"T",12109.2775,0,12109.2775149991,12109.2775,12109.2775
