"","x","xmin","xmax","x.maxF","x.maxX"
"A01",55296.2022117306,0,55296.2022117306,26979.2665245394,29126.656345083
"A02",1280.14646561196,0,192.02358142678,192.02358142678,192.023581426797
"A03",3627.28582265744,0,3627.28582265744,2320.35056915977,2381.33316678158
"B",8061.338,0,4166.06949182664,4166.06949182664,4166.069491824
"C10-C12",177754.573395456,0,131603.349214395,27951.9435644081,41389.1997994644
"C13-C15",26560.4927140948,0,8358.33567268827,8358.33567268827,8358.33567268307
"C16",7647.08983875287,0,2059.4667536053,1879.65018437815,1863.76696319699
"C17",16252.5616938508,0,16252.5616938508,3481.96493376946,3295.70812151106
"C18",10660.6688457044,0,10660.6688457044,4863.52772211515,4877.69152012264
"C19",60447.2835086937,0,56578.6252317405,48986.0023447685,49005.7417087564
"C20",64911.7464015009,0,30821.1905034269,30821.1905034269,30821.1905034127
"C21",18982.6193543002,0,18982.6193543002,2148.54706945236,2171.86864864397
"C22",23309.9803753247,0,6875.09228910161,4414.8178392377,4480.75153293703
"C23",20533.3347001918,0,7403.33429065115,7403.33429065114,7403.3342906528
"C24",53178.2221319436,0,14552.075336124,14552.075336124,14552.075336123
"C25",36435.8207408498,0,12294.4565447756,12294.4565447756,12294.4565447791
"C26",9141.89956702432,0,5203.95096906184,5203.95096906184,5203.95096906313
"C27",20605.2133514177,0,7610.75915160425,7610.75915160425,7610.7591516024
"C28",31336.4297622141,0,11959.4225782448,11959.4225782448,11959.4225782397
"C29",65245.8490210878,0,19791.1271051664,19791.1271051664,19791.127105181
"C30",20814.1938744262,0,8387.43393303381,8387.43393303381,8387.43393303013
"C31_C32",15894.4995238552,0,6411.55010489988,3757.73468513506,3747.46204026046
"C33",13640.9706993106,0,5368.41381472878,5368.41381472878,5368.41381472817
"D35",120541.4475,0,113501.007194595,78108.0339190232,78259.1283878869
"E36",12406.8278575342,0,12406.8278575342,9387.85765082526,9207.59759038416
"E37-E39",21370.2846424658,0,21370.2846424658,14542.7949242103,3321.3624819042
"F",163380.2585,0,46472.2902661434,46472.2902661434,46472.2902661485
"G45",36087.1277655301,0,26231.0223296376,26231.0223296376,26231.0223296225
"G46",126422.826138533,0,88533.9691774427,85099.3323210525,85407.9491832588
"G47",100854.543095937,0,74969.5729364273,74969.5729364272,74969.5729364944
"H49",64973.7284641645,0,64973.7284641645,35260.6784267962,35560.1371083621
"H50",4228.9705133519,0,4228.9705133519,2789.85517435234,2787.66546157651
"H51",13397.1931768888,0,10152.4763860847,9471.20826492913,9468.28335773947
"H52",54288.1479085061,0,54288.1479085061,33874.1998252736,34031.6569895806
"H53",6059.88843708871,0,6059.88843708871,3871.19473235791,3873.00179241996
"I",148042.726,0,52346.2095994531,40731.1289155952,40717.1471799284
"J58",9887.9236474704,0,9140.29796579481,3401.86010701037,3410.62879124641
"J59_J60",15309.2380128976,0,13628.080060568,12863.4873350979,12876.0763049609
"J61",45123.2019574828,0,45123.2019574828,35822.2522845783,35788.6819230084
"J62_J63",36914.8278821491,0,31587.9921937649,31370.9079104606,31376.8686928159
"K64",54235.5055466848,0,54235.5055466848,36084.3393062002,36176.9524223282
"K65",24730.4705319532,0,24730.4705319532,21201.0801508304,21213.0939855455
"K66",10618.764421362,0,10618.764421362,9290.406692842,9294.77571017158
"L68",171763.0935,0,83688.527205056,83688.527205056,83688.527205099
"M69_M70",37621.9928725124,0,30797.1362200408,24114.6285083401,24002.2813002271
"M71",29344.0494570661,0,15870.2456851178,15870.2456851178,15870.245685112
"M72",8445.03848031932,0,4975.48947998411,4975.48947998411,4975.48947998315
"M73",11943.254515888,0,7204.31966461236,7204.31966461236,7204.31966461343
"M74_M75",7511.19267421412,0,6040.42597970657,4367.23438287326,4383.20139854585
"N",67195.53,0,30689.6783004434,30689.6783004434,30689.6783004425
"O84",111742.792,0,111742.792,104312.955373957,104338.577919146
"P85",86600.9295,0,46757.8953215959,46757.8953215959,46757.8953215985
"Q",123642.1665,0,123642.1665,121259.663261887,121243.175905285
"R_S",69493.835,0,30611.555605824,30611.555605824,30611.5556058337
"T",12109.2775,0,12109.2775,12109.2775,12109.2775
