"","A01","A02","A03","B","C10-C12","C13-C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31_C32","C33","D35","E36","E37-E39","F","G45","G46","G47","H49","H50","H51","H52","H53","I","J58","J59_J60","J61","J62_J63","K64","K65","K66","L68","M69_M70","M71","M72","M73","M74_M75","N","O84","P85","Q","R_S","T"
"A01",6980.37721405895,0.224430714410833,2.4663562628481,7.66313676118576,30627.798516518,796.984822899609,45.2324689067768,63.4157310925132,13.0312338676642,29.5999987505318,89.9882819776258,49.1690316212306,481.088571539307,37.9496776930455,85.2765747709513,53.4910946984458,12.543503680986,15.9050099540121,57.6565611886868,16.892506020329,9.32591191686022,45.6667836605297,21.9799122989977,816.730673763833,25.031136081601,59.0271966186252,109.135225212528,38.0236628569163,2338.44085777238,796.114327296235,51.0229713193287,50.5990959922569,30.973288183861,170.456689612988,9.16409670692156,2253.01214517629,8.75464601108689,12.0909402197334,21.5018664017803,20.0278368603969,12.3802615461441,1.29312581644366,6.45352715237966,26.5374939790228,47.8339432142202,9.59139140946151,41.8016371887557,5.99814456372822,16.3325515571385,641.434072761321,105.253430809304,33.8748712974959,112.246612199365,144.2004339695,0
"A02",0,13.5212299826212,0.923662535904414,0.160289302387512,178.562590538478,0.166754434802775,146.590923165256,71.4710649763736,2.57613744085339,0.0256404725683586,22.2375125886865,0.748580465115442,25.9462078368618,6.46807157195021,9.47971348023961,3.87531548656353,0.0254457470703622,0.174301954722632,0.664057390274641,1.13449874222165,2.43652134095548,10.1652831829482,1.03768380156929,0.961241693222784,0.074442758465521,0.642660910253723,7.19120567698147,5.88768267465408,32.5076941216918,8.77541048183136,0.921646172109844,0.0186488955924676,0,2.8449101876953,0.0073653979005606,8.02856202426828,0.448688689480082,0.438348493564723,0,0.133740762654214,0,0,0,1.93773334023218,3.79376859132372,1.37191170554459,0.0170516661308112,1.62825696550876,0.987048290941363,96.2672398723851,0,0,0.00876723706339071,19.3307407255766,0
"A03",0,0.0609248706508246,24.4149860560952,0,80.3467810078815,0.301601277611931,0,0,0.0107855194651535,0.022901123133878,62.2372993290145,2.15567288610785,0.0116414239371239,0.0114472443460932,0.0107904799982795,0.224805346471743,0.0227272015107475,0.0304591438504183,0.255779349796667,0.0233836702336485,0.0117421450098644,5.38369758860516,1.42256223090657,0.0338899570825352,0.286736065831694,12.0786208330399,0.59257049950288,7.78281786375225,10.4336509153975,7.52525084843713,0.629034019888908,151.307689555301,0,18.2718749985359,0.0197355041488858,558.555275092827,0.0100188041573404,8.86251405567053,0.010338838872635,1.0526734804249,0,0,0,5.22458641032892,0.9326981609027,0.103259061859639,0.102801949396374,0.121755263957201,0.0215023190099239,1.51292912935347,9.28748437189031,5.95867359003399,17.1747460897563,31.0781694812657,0
"B",8.67731063824516,0.0330695814545939,0.224066041438588,19.9564668532478,72.8706815894353,38.1960682823064,6.22396279732235,19.0655146352885,7.63326637506868,1230.79576929272,43.1318322339913,31.7045590108261,19.1080518135078,170.06852731104,114.466462173858,43.9234284718866,17.9404660481794,20.9636904329877,59.8470102658784,96.9161912467145,32.9818178716338,13.5250179329923,9.69450602902961,281.979639600425,10.1152863030208,21.8554568880777,208.806652038494,14.6070673635453,202.790057627251,44.6436451754525,22.4134534595867,2.50596831354054,1.75167496214,28.3765938148905,1.6934442334836,45.4653367437465,8.20999569626346,13.3555773247263,9.8869847245071,56.8752651539517,2.90083681799882,0.649405723093113,25.4136033857747,46.2731817180541,118.590381696409,50.9233270395063,24.8384514513208,20.7828405798608,23.2644914975407,108.865341115318,23.385180679311,25.196194000346,94.1987941259618,43.6068274051246,0
"C10-C12",5245.71584663663,0.294973690423141,95.1633185291288,19.6087524167074,38101.8680460975,1112.17507372196,14.8940714077139,85.8182865116964,12.6945255805116,159.257653264404,1574.1066577061,255.735085517477,86.8413169699132,36.9252027125986,41.2413199518623,57.8781188764651,28.2751676840362,33.2135649844934,107.011834732443,76.3984730400223,32.8339494839249,64.7165052859497,14.3324444741521,67.3575164777704,5.88026091480512,102.766650537276,146.622813657214,135.659705425098,3368.95423467232,1420.61226769686,74.733579945637,739.900214783301,111.387635305456,172.676319385835,4.56353127199741,18716.3351340245,11.3893996804336,37.6879275102658,24.3237539899899,52.1125616498818,10.9205501321259,2.2068593773814,29.489599796783,156.084630612369,106.926368115789,40.588585581591,32.0132027996424,52.1214063352463,33.6222765035723,224.332541882055,65.7059363733519,43.4024730720057,550.574088143159,377.942727195625,0
"C13-C15",217.116793574348,2.36887319228796,63.233149445432,10.1994086593466,185.690248224133,29089.9065792338,108.881593313136,343.983105230029,93.8626076447232,113.099600101259,359.98190603631,100.187230666372,499.781504412959,68.067450392479,135.650809341455,262.233932529249,56.9226859795533,57.7129124565166,230.516576999535,758.848210035943,169.91293858513,896.632901424682,37.1724658289519,38.0471979028105,12.6973853420131,191.408154457583,310.64096254471,90.2834784578855,1184.33027697448,472.998162283168,124.296411710165,37.0073155979258,46.1054207041431,91.1805535306405,17.0440610874384,202.841500144752,27.4794432943831,27.7822417902605,32.4726740747357,55.132316878478,25.1080470034924,4.91501720103929,19.2344328447029,191.399989401259,96.0968476090421,39.1004446482633,24.3681820008833,66.0160260175947,58.0085635634252,421.571494698788,77.1500213020656,39.6044442834907,204.234535235832,702.040713345252,0
"C16",63.3221501655119,0.131240150122526,4.97619543822938,7.38659763256814,408.349548286179,96.9821125252965,3881.46543641944,32.84238148854,31.7271830213464,16.0712865547207,40.5400283184639,17.563565638255,110.850736924034,64.5868508406924,68.3795534686302,436.063699186502,20.1359419869692,72.7853236192301,268.887378028468,138.334220131366,219.863311020827,3238.13427833279,55.8806445803822,18.7446541397707,4.27647359799604,34.6917176598681,2018.41318294024,26.2046218342243,471.911502029041,39.6782721542077,67.7180693856122,20.6071670539303,18.05812403492,60.8376447690789,1.96556575659273,50.268220679791,9.90484558516092,9.73878444680171,10.7424671456298,21.8865409580908,3.88412212193294,0.622972540902099,16.5206764170554,118.237792309276,59.0166106833163,38.6319460906577,2.17334685101547,39.5521879367912,21.9909174733234,155.866459022105,14.8575004908978,4.32663427393836,145.735700282293,243.329551233895,0
"C17",55.4526264066046,0.944245289585987,6.57349132317228,10.623905083588,869.134718748303,104.834356970626,55.2367964664439,5485.52911941575,1533.80289806507,17.2233331601452,208.02867094404,39.8987592312802,202.716494436384,94.4166369927928,271.377182823369,196.937405276657,22.1852528104441,211.989110197136,250.796748749947,155.377617918133,43.1269701565806,112.835800115676,52.0151372342784,70.6767851580557,18.7652175864611,216.00431012865,253.959460458883,134.496893803277,1073.38833509965,97.2626386847311,138.755049731894,23.2650041079536,20.3432941425418,255.221525645956,26.5090233049821,470.612748851008,588.003900492152,77.0155147962136,177.769332068419,104.158112580992,142.718313913159,17.28990279426,247.943644200204,108.583771612341,463.727352074739,182.974096041656,4.48864004600149,184.336998193443,111.071967531471,1173.91516181281,106.032753289454,45.5956822796189,193.183250190852,313.006004751315,0
"C18",21.0929444569471,0.404117399847029,0.787669081229072,4.41052409845251,168.112049784698,149.530773206657,5.28860788500986,937.735432506532,1134.76822408945,90.8826834810421,330.814144267794,74.6063130116996,83.340549497061,22.5857384539979,52.0760673904291,173.606493541883,15.7699032170491,72.6436865508015,195.159843056991,103.317263058055,44.2750805860592,129.621975660003,33.8310486335809,16.1163136335499,8.79339095843643,78.2792391031962,247.56272489327,267.232014817519,205.051136527804,28.0615072516026,193.332554070536,27.9204060370554,70.0333051907727,277.345868910566,19.2776052574192,336.321389407353,1119.28286584509,161.756081802897,522.244027880866,255.975248416232,487.781722623333,62.9871710415851,348.907744690778,146.932542075075,541.151812528415,215.22201651581,3.16608113451004,169.850963676001,134.10138546323,2572.77922399565,137.539574928679,56.2632068990471,88.2526577158804,843.654232238123,0
"C19",1474.90218258565,29.8782887879741,114.769167078733,304.870218594946,206.170046742832,103.234012515968,84.3449917194087,78.031173976539,21.7184732705115,6692.11016022435,4949.91655321538,29.8415811254804,140.83424667916,1160.1698362958,1130.63991193758,182.27222106681,47.1936206518677,50.3177768287961,501.635198937567,85.8292062113521,22.871183083201,132.194476663254,89.4644939855306,2842.47534410448,346.766976429151,374.578965407068,2107.41695120107,97.9566689547468,871.364313799638,291.459884522241,6113.55364498815,2560.01050908281,2891.267959039,591.838291534888,58.0324609130501,69.2465301374095,3.11897408890377,4.93579294150671,6.11169169088568,28.9066225546675,36.2023139947574,0.773291018156417,15.3157571187451,8.38598523940271,51.6459328678527,27.7667972796005,18.4394058721798,13.2568183073647,6.75904224665137,385.184789899375,318.99428564916,9.89820011868366,105.788941021253,109.240061676887,0
