"","A01","A02","A03","B","C10-C12","C13-C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31_C32","C33","D35","E36","E37-E39","F","G45","G46","G47","H49","H50","H51","H52","H53","I","J58","J59_J60","J61","J62_J63","K64","K65","K66","L68","M69_M70","M71","M72","M73","M74_M75","N","O84","P85","Q","R_S","T"
"A01",0.0979387332290017,0.000113348478376238,0.00113613802228549,0.000567000139830095,0.18139390148784,0.00749547773581008,0.00237026500434985,0.00225631361361399,0.000860981087761971,0.000422216919603487,0.00134504810808897,0.00151777479464856,0.00911655185440404,0.000934688962329339,0.00116680439675442,0.000508320185116248,0.000435926114105317,0.000339681900881283,0.000395667190582524,0.000268247999934819,0.000319177331526912,0.000929377921890578,0.000875262858851569,0.00729653164629867,0.00212725675059166,0.00114531946157822,0.000402409531906766,0.000835516534090552,0.0108601552871791,0.00504820816017401,0.000423112805696884,0.00305129359107771,0.00204068861943132,0.00200639337159918,0.000996956381453476,0.016682111297507,0.000713052106107936,0.000618106563005979,0.000416772561435624,0.000309183219343249,0.000103119163966958,4.17360827418275e-05,0.00016325541750794,8.67228065010417e-05,0.000507076325994842,0.000239832280146468,0.00232958876760183,0.000297994508149774,0.000562934501819437,0.00517917839202037,0.000612304726709023,0.000347095680485697,0.000567143988920012,0.00130461137354773,0
"A02",0,0.00682888190383668,0.000425489270390242,1.18599027655778e-05,0.00105754140115822,1.56829103578706e-06,0.00768163541658649,0.00254292009423385,0.000170206876691399,3.65737898715133e-07,0.000332382434453569,2.31075643399071e-05,0.000491676508575238,0.000159306625862752,0.000129707031484613,3.68267109996362e-05,8.84319558793143e-07,3.72255154059628e-06,4.55708277737322e-06,1.80155045179968e-05,8.33894193669768e-05,0.000206876618029991,4.13216430707468e-05,8.58756828860068e-06,6.32647515327298e-06,1.24697104025589e-05,2.6515817461173e-05,0.000129373549325409,0.000150971791745891,5.56453982604605e-05,7.64283787591696e-06,1.12459036048157e-06,0,3.34865645716019e-05,8.01277056947886e-07,5.94463574173508e-05,3.65449858983918e-05,2.24090166547953e-05,0,2.06464631418173e-06,0,0,0,6.33238668460588e-06,4.02168441424074e-05,3.43045861078943e-05,9.50282633856255e-07,8.08936210894918e-05,3.40206204761648e-05,0.000777297667490799,0,0,4.42978696863237e-08,0.000174889239341843,0
"A03",0,3.07700369874451e-05,0.0112468723151406,0,0.000475855816772092,2.83649775563777e-06,0,0,7.12605450526713e-07,3.26663583554117e-07,0.000930256249762295,6.65424122493615e-05,2.20603130609223e-07,2.81942129414739e-07,1.47641712145454e-07,2.1363013035693e-06,7.89841569870679e-07,6.50513260428145e-07,1.75528152662233e-06,3.71325767992203e-07,4.01872389967024e-07,0.000109565186683155,5.66479005093361e-05,3.02767059310821e-07,2.43681001809148e-05,0.000234364501476929,2.18495922707217e-06,0.000171016480749106,4.84558199437966e-05,4.77180618887429e-05,5.21632398411813e-06,0.00912435636185117,0,0.000215072632039182,2.14701322254408e-06,0.00413574391281372,8.16015792760485e-07,0.000453064691660803,2.00398620226825e-07,1.62508301752056e-05,0,0,0,1.70736090102963e-05,9.88731275142058e-06,2.58198786749052e-06,5.72911212831121e-06,6.04893723585418e-06,7.41121018198999e-07,1.22159551357687e-05,5.40293132149565e-05,6.10549881167486e-05,8.67781558407503e-05,0.000281170675137351,0
"B",0.00012174769151911,1.67017546963542e-05,0.0001032170222186,0.00147659109434389,0.000431578431288719,0.000359226137285644,0.000326147158521748,0.00067834556948342,0.000504334282810438,0.0175561763617452,0.000644688264625003,0.000978672529342675,0.000362094540381843,0.00418873584653303,0.0015661976539761,0.000417399670312195,0.000623487491894004,0.00044771969564016,0.000410699110881241,0.00153900045570179,0.00112879562996332,0.000275251551620908,0.000386045264726064,0.00251915769794063,0.00085964180779173,0.000424066897117402,0.000769923614875023,0.000320969769344477,0.000941794832744204,0.000283088001493498,0.000185865678407673,0.000151118214754671,0.000115409869916378,0.000334012175573896,0.000184228744981698,0.000336641686269503,0.000668691197216203,0.000682756663015675,0.000191640291661683,0.000878021810536718,2.41619990306081e-05,2.09597942036071e-05,0.000642890055803978,0.000151217752041487,0.00125714860637005,0.00127333533948802,0.00138423711120064,0.00103251468695869,0.0008018578655903,0.000879019444534847,0.000136041709565071,0.00025817043038762,0.000475954497024501,0.000394520054004077,0
"C10-C12",0.0736004300547178,0.000148976128593888,0.0438374074891173,0.00145086349215128,0.225659264903714,0.0104597769792863,0.00078047688050702,0.00305339014180705,0.000838734578315888,0.0022716648183429,0.0235280542682687,0.00789416130656768,0.0016456291337951,0.000909456456689858,0.000564288065943528,0.000550009609399894,0.000982650803767228,0.000709339190707692,0.000734366933003542,0.00121318515834166,0.00112373486616598,0.00131706431619491,0.000570732774277257,0.000601760490188534,0.000499730602937115,0.00199400702733714,0.00054063587348404,0.00298093130372646,0.0156460515228915,0.00900818663393062,0.000619735265762389,0.0446184410834295,0.00733882300012475,0.00203251995233799,0.000496463728950395,0.138582469009641,0.000927648635839012,0.00192666202270766,0.000471469455939823,0.000804496745776603,9.09607600361892e-05,7.12271492864291e-05,0.000746000878789308,0.000510074433896544,0.00113350115530529,0.00101491562718944,0.0017840831764615,0.00258944956726622,0.00115885992506182,0.00181134477085204,0.000382239848192098,0.000444719355341243,0.00278186377679625,0.0034193266058641,0
"C13-C15",0.00304627430199429,0.00119639672545257,0.029128632564565,0.000754660436875583,0.00109975513177858,0.273584566275872,0.00570559680878517,0.0122388207123478,0.00620155626480323,0.0016132623911777,0.00538062257684605,0.00309263063430767,0.00947077995695131,0.00167648049847361,0.00185605438759744,0.00249198117702577,0.00197824195971003,0.00123256960324501,0.00158191616918704,0.0120502851590693,0.00581523381444893,0.0182476354984691,0.00148024606601794,0.000339907135202222,0.00107908001441113,0.00371394030147566,0.00114541280402594,0.00198385251022839,0.00550025059496402,0.00299930939654688,0.00103073972637928,0.00223166407803454,0.00303767577941767,0.00107325830765566,0.00185421280573901,0.00150191133608083,0.00223815730423814,0.00142026886854939,0.000629420688320863,0.000851114743002864,0.000209132965906492,0.000158633879218526,0.000486575060497347,0.000625482732403733,0.00101869996807608,0.000977704734839952,0.0013580291800486,0.00327974976163098,0.00199938274902095,0.00340392577936554,0.000448815039526303,0.000405803210825845,0.00103192770560544,0.006351508619714,0
"C16",0.000888446423791573,6.62826893248942e-05,0.00229230664233694,0.000546538841868029,0.00241846039618157,0.000912096748041531,0.203395965594974,0.00116852256024603,0.00209623316001759,0.00022924220910912,0.00060594876569797,0.00054216111952851,0.00210060382027656,0.00159075439535207,0.000935609384518571,0.00414386696594188,0.000699787170113825,0.00155446976485562,0.00184523515197955,0.00219670650572065,0.00752477457839052,0.0659002072221844,0.0022252251084789,0.000167461522535284,0.000363433657202275,0.000673132075848687,0.00744240645089345,0.000575809723920436,0.00219164499149382,0.000251602276711625,0.000561558482253042,0.00124268063547118,0.00118976738884127,0.000716101242406649,0.000213832676244184,0.000372203964325414,0.000806734046839668,0.000497860916758502,0.00020822218242652,0.000337877287541291,3.23520972853789e-05,2.01066541107985e-05,0.000417924936596175,0.000386393424776775,0.000625621140702185,0.000965989950976056,0.000121119763548169,0.00196499678613041,0.000757961554818235,0.00125852403370595,8.64325058832592e-05,4.43324508700462e-05,0.000736352971075404,0.00220145315323496,0
"C17",0.000778032449814549,0.000476890015118783,0.00302810812205834,0.000786069184938306,0.00514747207401359,0.000985945486091484,0.00289451026621259,0.195173560515412,0.1013392362534,0.000245675100646767,0.00310938895745464,0.00123161528918216,0.00384144530259602,0.0023254529108581,0.00371314268833646,0.00187147522164007,0.000771007151914091,0.00452743281054851,0.00172108850995078,0.00246735062228287,0.00147601128706055,0.00229635400219801,0.00207129660482346,0.000631414266820502,0.00159475125927115,0.00419118566266213,0.000936413586058396,0.00295538015312532,0.00498501553455305,0.000616748159722056,0.00115063934691769,0.00140295703982259,0.00134032681941921,0.00300413423790003,0.00288390015898018,0.00348458585594707,0.0478919900490136,0.00393714585331673,0.00344571854770342,0.00160795900191238,0.0011887465510034,0.000558037589570334,0.00627225115763535,0.000354844712245021,0.00491586405286091,0.00457525845709106,0.000250150140908491,0.00915806755352986,0.00382832054683487,0.00947862968044787,0.000616838382615129,0.000467191867064713,0.000976089317610534,0.00283183054687388,0
"C18",0.000295946221362135,0.000204099035545428,0.000362843278419808,0.000326337354856188,0.000995647812594766,0.00140630605399891,0.000277132831670161,0.0333643590617295,0.0749747867205899,0.00129635838798726,0.00494465422717039,0.0023029857956756,0.00157929014741188,0.000556279834831846,0.000712535471318324,0.00164976404824179,0.000548053622342044,0.00155144483442312,0.00133928117155966,0.00164064758305903,0.00151530511981879,0.00263797431554976,0.0013471873746432,0.000143980379611498,0.000747301289719532,0.00151887165778319,0.000912827183412716,0.00587204782607511,0.000952295704679862,0.000177939681572406,0.00160322845318773,0.00168369324254709,0.00461417489921004,0.00326455309138055,0.00209719868691578,0.00249024438764695,0.0911638236212682,0.00826920768372696,0.0101227017751513,0.00395166247504325,0.00406289021017869,0.00203293271918044,0.00882634847367817,0.000480166003057991,0.00573662245810382,0.00538161615506477,0.000176444453956809,0.00843838521089843,0.00462207612539541,0.020773580840498,0.000800127190067197,0.000576495654062483,0.000445910690301084,0.00763271563352113,0
"C19",0.0206937314373493,0.0150899959459345,0.052868929143922,0.0225575325040419,0.00122104724988456,0.000970894576858522,0.00441983351774858,0.00277632690022449,0.00143495197238188,0.0954568329988987,0.0739860318341894,0.000921165175951065,0.00266878655757382,0.0285746284641526,0.015470082187731,0.00173211353546897,0.00164012641001688,0.00107463234105139,0.00344246319532282,0.0013629424121253,0.00078276132676763,0.00269032802747822,0.00356256875397339,0.0253941868088565,0.0294697927048299,0.00726804936630144,0.00777058614405881,0.00215246008371439,0.00404677831732082,0.00184816441176929,0.0506972206561683,0.154377138687445,0.190492452228939,0.00696634686435739,0.00631331533145179,0.000512726185338896,0.000254035518988712,0.000252324960287593,0.00011846345582839,0.000446251019722714,0.000301540669306084,2.49582349272465e-05,0.000387443992073228,2.74048550255796e-05,0.000547486327312059,0.000694307428363537,0.00102762082277094,0.000658613511088604,0.000232964094225205,0.00311012592797525,0.00185572771732286,0.000101420975908832,0.000534515570838375,0.000988317600631255,0
