"","x","xmin","xmax","x.maxF","x.maxX"
"A01",71272.8966765104,0,71272.8966765104,42676.1361700447,42676.1361700674
"A02",1980.0064158416,0,297.003455019618,297.003455019618,297.003455019642
"A03",2170.82450764802,0,2170.82450764802,1471.15293589253,1471.152935893
"B",13515.22905,0,8850.50837076937,8850.50837076937,8850.50837077328
"C10-C12",168846.90315,0,125008.417699517,64382.5087272066,64382.5087272822
"C13-C15",106328.75595,0,43176.4001798854,43176.4001798854,43176.4001798855
"C16",19083.2960971736,0,7509.85803234101,5557.74127758762,5557.74127758919
"C17",28105.9027920054,0,14428.4512038465,8551.92698273198,8551.92698273605
"C18",15135.3311389655,0,15135.3311389655,9751.78151026421,9751.78151025939
"C19",70106.14065,0,70106.14065,52524.2004734493,52524.2004734406
"C20",66903.39285,0,61400.0801285971,52098.6187779888,52098.618778015
"C21",32395.4725,0,32395.4725,28595.6462997845,28595.6462997856
"C22",52770.891804548,0,27842.5104706396,27842.5104706396,27842.5104706434
"C23",40601.3970663258,0,15677.4130580367,15677.4130580366,15677.4130580342
"C24",73085.5788752222,0,19999.6691716703,19999.6691716703,19999.6691716746
"C25",105231.104852177,0,35507.8935909168,35507.8935909168,35507.8935909189
"C26",28774.38005,0,17619.0587877234,17619.0587877234,17619.0587877239
"C27",46823.2482,0,23200.389505182,23200.389505182,23200.3895051942
"C28",145719.84375,0,77238.9413221012,77238.9413221012,77238.9413221234
"C29",62973.4649445052,0,19101.8412307981,19101.8412307981,19101.8412307874
"C30",29218.5910329095,0,11774.1289133456,11774.1289133456,11774.1289133493
"C31_C32",49136.9362074284,0,20621.9239375992,20621.9239375992,20621.9239375869
"C33",25112.3557645728,0,16583.9084976845,16583.9084976845,16583.9084976908
"D35",111934.096,0,111934.096,80365.615763311,80365.6157632665
"E36",11766.8617455975,0,11766.8617455975,9483.3031480138,9483.30314801794
"E37-E39",51537.7574544025,0,51537.7574544025,34453.8675705534,34453.8675705655
"F",271204.37405,0,136654.497408802,136654.497408802,136654.497408821
"G45",45509.1686465601,0,39294.4434487743,36590.4941754042,36590.4941754057
"G46",215322.966931514,0,143262.027987241,143262.027987241,143262.027987224
"G47",157702.357358575,0,118020.662247331,118020.662247331,118020.662247239
"H49",120589.522775827,0,120589.522775827,62882.2356180046,62882.2356180095
"H50",16582.8342904182,0,16582.8342904182,8976.59306485407,8976.5930648527
"H51",15177.8609871859,0,15177.8609871859,8678.86117492618,8678.86117492839
"H52",84956.7647231246,0,84956.7647231246,51646.331351725,51646.3313517602
"H53",9192.0738734438,0,9192.0738734438,6453.97224014697,6453.97224014343
"I",135055.5757,0,58666.7864217594,38351.7891355358,38351.7891355539
"J58",12277.7086500347,0,12277.7086500347,10159.5746124193,10159.5746124169
"J59_J60",19561.2551999653,0,19561.2551999653,15757.7956325658,15757.7956325709
"J61",51591.36755,0,51591.36755,43070.5579845594,43070.5579845795
"J62_J63",64776.5972,0,64776.5972,49323.0499326091,49323.0499326107
"K64",120057.815345663,0,120057.815345663,83727.7728300153,83727.7728299954
"K65",30983.4016872815,0,30983.4016872815,27797.0158631579,27797.0158631688
"K66",39530.2480670559,0,39530.2480670559,27912.9819524961,27912.9819525159
"L68",306003.63445,0,149094.854806599,149094.854806599,149094.854806548
"M69_M70",94332.8267601015,0,94332.8267601015,63690.3758889955,63690.3758889991
"M71",39992.0786459768,0,39992.0786459768,25928.0322027073,25928.0322027146
"M72",17943.7838,0,17943.7838,14825.0488288172,14825.0488288122
"M73",20128.3728380441,0,12141.6848364793,12141.6848364793,12141.6848364791
"M74_M75",29013.2360058776,0,29013.2360058776,20520.1455406093,20520.1455406037
"N",123848.6154,0,72294.88669773,72294.88669773,72294.8866977216
"O84",171897.13915,0,171897.13915,170288.802062382,170288.802062449
"P85",97595.19695,0,97595.19695,95851.256718158,95851.2567181295
"Q",197915.54595,0,197915.54595,196575.393858538,196575.393858514
"R_S",110531.33285,0,56128.7817262137,56128.7817262137,56128.781726185
"T",25597.8037,0,25597.8037,25597.8037,25597.8037
