Name;WIOD code
Limelight Networks, Inc.;J62-63
Acme United Corp.;C32
Shueisha, Inc.;J58
Cisco Systems, Inc.;C26
NexTone Inc.;J61
Walmart, Inc.;G47
MatsukiyoCocokara & Co.;G47
Sumitomo Corp.;G46
Target Corp.;G47
Prologis, Inc.;L68
Nippon Telegraph & Telephone Corp.;J61
Lojas Americanas SA;G47
ENSHU TRUCK CO., LTD.;H52
ACCO Brands Corp.;C17
SAS Equipement De La Maison;G47
Soc Coopérative Groupements d'Achats des Centr...;K64
Goodman Group;K64
Nautilus, Inc.;C32
Verisure Midholding AB;N
Ingram Micro, Inc.;G46
Nissan Motor Co., Ltd.;C29
Nippon Prologis REIT, Inc.;K64
Tohan Corp.;G46
Xiamen Comfort Science &…;C32
Microsoft Corp.;J58
Graphico, Inc.;C20
JBG SMITH Properties;L68
Sony Group Corp.;C26
Tritax Big Box REIT Plc;K64
Turtle Beach Corp.;C26
Hasbro, Inc.;C32
Amazon.com, Inc.;G47
Lifetime Brands, Inc.;G46
Costco Wholesale Corp.;G47
Z Holdings Corp.;K64
ATX Networks Holdings LLC;J61
Maruwa Unyu Kikan Co., Ltd.;H53
Via SA;G47
Crown Crafts, Inc.;C13
PHYZ Holdings, Inc.;J62-63
Duke Realty Corp.;L68
Apple, Inc.;C26
A Holdings Corp.;K64
The Simply Good Foods Co.;C10
BookLive Co., Ltd.;J58
The Shyft Group, Inc.;C29
Newell Brands, Inc.;C22
Applied Optoelectronics, Inc.;C26
Newmont Corp.;B
iRobot Corp.;C26
Mosaico Tecnologia ao Consumidor SA;G47
Duke Realty LP;L68
Rakuten Group, Inc.;J62-63
Arlo Technologies, Inc.;C26
Wm Morrison Supermarkets Plc;G47
Copa Corp., Inc.;G47
Dick's Sporting Goods, Inc.;G47
JAPAN LOGISTIC SYSTEMS CORP.;H49
LXP Industrial Trust;L68
Impress Holdings, Inc.;J58
Fuji Media Holdings, Inc.;J59-60
Kornit Digital Ltd.;C28
HF Co. SA;C26
CB GROUP MANAGEMENT Co., Ltd.;G46
Best Buy Co., Inc.;G47
Emerson Radio Corp.;C26
Alphabet, Inc;J62-63
TV Asahi Holdings Corp.;J59-60
Loginet Japan Co., Ltd.;H49
Melco Holdings, Inc;C26
Alphapolis Co., Ltd;J58
Escalade, Inc.;C32
Logitech International SA;C26
Industrial Logistics Properties Trust;L68
Tesco Plc;G47
Corsair Gaming, Inc.;C26
Happinet Corp.;C26
Summer Infant, Inc.;C31
Koss Corp.;C26
The Kroger Co.;G47
MEDIA DO Co., Ltd.;J58
Laird Superfood, Inc.;G46
World Holdings Co., Ltd.;N
Magazine Luiza SA;G47
Nippan Group Holdings, Inc.;K64
People Co., Ltd.;C32
Wellnet Corp.;K66
United Parcel Service, Inc.;H53
Hamilton Beach Brands Holding Co.;C27
Helen of Troy Ltd.;C20
