Name;WIOD code
Iochpe-Maxion SA;C29
Autoliv, Inc.;C29
Burelle SA;C22
Gentex Corp.;C29
Aptiv Plc;C29
Akebono Brake Industry Co., Ltd.;C29
Faurecia SE;C29
P.A.M. Transportation Services, Inc.;H49
STRATTEC Security Corp;C29
Hi-Lex Corp.;C27
Nemak;C29
Unique Fabricating, Inc.;C22
Dana Inc.;C29
American Axle & Manufacturing Holdings, Inc.;C29
Cooper-Standard Holdings, Inc.;C29
Aisin Corp.;C29
TI Fluid Systems Plc;C29
Veoneer, Inc.;C29
Tofas Turk Otomobil Fabrikasi AS;C29
Yasunaga Corp.;C29
F-TECH INC. ;C29
Nippon Seiki Co., Ltd.;C29
Exco Technologies;C25
Namsun Aluminum Co., Ltd.;C24
Superior Industries International, Inc;C24
Furukawa Battery Co., Ltd.;C27
Tenneco, Inc.;C29
Universal Logistics Holdings, Inc.;H49
Ryobi Ltd.;C28
CIR SpA - Cie Industriali Riunite;C29
Mando Corp.;C29
Wuling Motors Holdings Ltd.;C29
TAE WON MULSAN Co., Ltd.;C29
Sogefi SpA;C29
elenav, Inc. ;J61
LXP Industrial Trust;L68
PAR Technology Corp;J58
NetSTREIT Corp.;L68
General Mills, Inc.;C10
ACCO Brands Corp.;C17
Yunhong CTI Ltd.;C22
Yankershop Food Co., Ltd. ;C10
IG Design Group Plc;C17
The Kraft Heinz Co.;C10
Cal-Maine Foods, Inc.;C10
Colgate-Palmolive Co.;C20
Crown Crafts, Inc.;C13
Retail Value, Inc.;L68
Summer Infant, Inc.;C31
B&G Foods, Inc.;C10
JAKKS Pacific, Inc.;C32
Meisheng Cultural & Creative Corp., Ltd.;C32
Energizer Holdings, Inc.;C27
Central Garden & Pet Co.;G46
Digimarc Corp.;J58
Agree Realty Corp.;L68
The Simply Good Foods Co.;C10
Hostess Brands, Inc.;C10
Hasbro, Inc.;C32
SmartCentres Real Estate Investment Trust;L68
Helen of Troy Ltd.;C20
Xiamen Comfort Science & Technology Group Co.,.;C22
Kontoor Brands, Inc.;C14
Reynolds Consumer Products, Inc;C24
