"","A01","A02","A03","B","C10-C12","C13-C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31_C32","C33","D35","E36","E37-E39","F","G45","G46","G47","H49","H50","H51","H52","H53","I","J58","J59_J60","J61","J62_J63","K64","K65","K66","L68","M69_M70","M71","M72","M73","M74_M75","N","O84","P85","Q","R_S","T"
"A01",0.0416492635479019,0.0224527569927926,4.62478299852278e-05,0.000532019509730971,0.145641801884803,0.00223621474604091,0.000137368054228997,9.34412103107531e-05,3.72629160199913e-05,8.02642265134217e-05,0.000837087532269831,0.00185690449784096,0.00413546347722968,8.30978899401735e-05,2.95575092656702e-05,0.000128687228030327,6.11830656367286e-05,4.66781003335956e-05,4.84296795355185e-05,0.000105177150180434,2.72327925323602e-05,5.82069188288935e-05,5.52846394322128e-05,7.50840672307463e-05,8.59037813974788e-05,9.81168219088743e-05,0.000123280319466423,2.43947951778582e-05,0.000652179029932922,0.000293265888607012,2.28947696594579e-05,0.000429497143764945,1.47104460707368e-05,4.49605302721869e-05,2.39102939150381e-05,0.00465257864853312,1.83566835014305e-05,1.95701695799728e-05,3.07745937570098e-05,1.61284429551427e-05,1.83749797412748e-05,2.00994151014259e-05,5.98943588456407e-06,0.000142483219774861,1.75673197436175e-05,1.63424809767751e-05,0.000169222941925474,1.69332438372958e-05,0.000187930514344765,0.00102714221299261,0.00157180243040058,0.000151810937600686,0.000998663651355922,0.000331218625767251,0
"A02",0.000790000896821549,0.148384159281647,4.30647729502722e-05,0.00137184126224138,6.60312170384825e-05,3.45886676805958e-05,0.0563942156331541,0.00223524067175786,1.79893107681966e-05,8.72225896579725e-06,0.000133199920783535,4.06954145766383e-05,0.000248001870772367,7.64646270068295e-05,1.9078081482243e-05,0.000109399854345587,2.81058192123743e-05,1.69778728464595e-05,2.72819065127818e-05,1.64970797134925e-05,0.000180822487016801,0.00164776862208434,4.21614696381261e-05,3.18855232294434e-05,2.23397120786618e-05,1.43100322016148e-05,0.000302352958917924,4.76975640528305e-06,9.82043829247928e-06,1.29447167552304e-05,3.68005393839486e-06,3.81119772277457e-07,5.95314709313326e-07,6.17069125389934e-06,3.39837439113629e-06,8.43533245323726e-05,2.29380398225075e-06,5.05961601567491e-06,7.32129891107512e-06,8.02060538787952e-06,1.63767417937944e-06,1.54945859872027e-06,1.49986647285505e-06,4.45660920726617e-06,2.17160989700867e-06,6.48098861217406e-05,9.82624447927979e-06,3.1352277258832e-05,1.6627725200342e-05,7.09519717672012e-05,2.5443058593898e-05,1.05875381493423e-05,1.82515233328636e-05,0.000128141483943217,0
"A03",4.36678429588635e-07,0,0.0129572433219081,1.78549898385783e-06,0.000357110527719774,2.75576210398124e-07,1.18852164813624e-07,4.20765749475836e-07,5.56306076801973e-07,2.91464813414721e-08,1.62805291346531e-06,5.28092480787152e-06,2.50316377078987e-07,3.03222540135607e-07,1.32957033067302e-07,4.17745064433077e-07,4.58135733145531e-07,4.40282266311155e-07,3.35106798051663e-07,3.90355165579213e-07,3.60006762080589e-07,1.42155736990166e-05,8.88273592341421e-07,0,0,0,2.23362876642404e-07,0,1.53217191246118e-06,6.75278679566585e-07,3.15404359398157e-08,6.73515565844816e-06,2.24944556356856e-07,2.91663331287723e-08,0,0.00015943688011708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.19497306214476e-07,0,1.70307750668169e-05,3.98849286011537e-06,0
"B",0.00022196497710275,8.44573160149664e-05,0.000116215257734569,0.0020345589325478,0.0002908057956064,0.00023825006252715,0.000258681466147687,0.000385353590594734,0.000102698741849854,0.0115633971394755,0.000558282764780013,0.000130411693941408,0.000299531462655625,0.00161956172668638,0.00177449912916655,0.000186336954456528,0.000130437840548684,0.000252510569011205,0.000195126995493449,0.000182079405522811,0.000164459320734109,0.000204745211157288,0.000263110659248342,0.0025053362763798,0.000466687997893544,0.000205734497524831,0.000407237393394638,0.00010924915365152,0.000112340157606238,0.000253386677403528,0.000129781066225636,0.000198811381284349,0.00028286024716721,8.28613220484411e-05,6.03967700503523e-05,0.000222229511546362,5.53969802247417e-05,4.51266213837319e-05,0.000129476818358446,4.44156011193019e-05,8.58180775777108e-05,6.00380660795013e-05,4.79108502058739e-05,5.6581251121501e-05,7.51050320013611e-05,0.000133079580373716,9.91891110175291e-05,6.63712767214961e-05,8.63114005142156e-05,6.29232100444909e-05,0.0001312530286613,4.25821381314074e-05,7.91171135492452e-05,6.82471506066864e-05,0
"C10-C12",0.0614117544438978,0.000820831767357948,0.00109634875408468,0.001410684594247,0.128737507417386,0.00282015852589956,0.00133361396628156,0.00125054009275129,0.000967470658029589,0.00140305355156596,0.0141825472530575,0.00816517104980834,0.00120553804976845,0.00131078134687469,0.000841643045137538,0.000917487925293761,0.00146412944768654,0.00106005156662751,0.0008765647095035,0.000769947936631106,0.000811205056101931,0.00222726948436434,0.00162758252859412,0.000507580461708441,0.000439795399910795,0.000694288054957153,0.00145980390863143,0.000483576364106136,0.00126347235756415,0.00109622654840048,0.000286653573075111,0.00533291739662686,0.000857010766318972,0.000362509570344061,0.000179165316565855,0.10798232253625,0.000307817481481836,0.000468320899120189,0.00066030830638851,0.000283834817563867,0.000353328347168629,0.000233976714626781,0.000170941178900135,0.000226622783660082,0.000310051594666781,0.000422664682570892,0.00141414696142734,0.000286873517831787,0.00070545512839161,0.000292449492955704,0.00764794905354122,0.00185727992865245,0.0198008273183779,0.00134439219624404,0
"C13-C15",0.000289157342958249,0.000149042967465094,0.000229813462270624,9.30231137278982e-05,0.00026577322589456,0.000336102406568509,0.000251218290307118,0.000231484749886287,0.000166709316257146,6.39502692899471e-05,0.000155565997412043,0.000199491625091883,0.000340016848724269,0.000174440346116445,8.60873113541668e-05,0.000176861564814521,0.0002185900979864,0.000213915889200051,0.000163137991736247,0.000195508482284047,0.000166185935888897,0.000279857443208077,0.00021468634201703,7.75391741375762e-05,7.67149302824367e-05,0.000111566001418882,0.000313966877558947,0.0001257451535294,9.53324019251704e-05,0.000154682372992557,5.25395443237835e-05,4.64660155784692e-05,4.80665492788926e-05,4.52343090126512e-05,3.99103094753875e-05,0.000275533557064073,9.22002516238547e-05,4.09761418788068e-05,0.000114884611564327,7.58793212336651e-05,6.81705290584432e-05,4.59999721154497e-05,4.26987757506437e-05,3.74863776381012e-05,5.98747071244774e-05,8.33948993244677e-05,7.95162006120108e-05,6.65113310951239e-05,8.69995822686974e-05,8.56310832850012e-05,7.01548050757205e-05,3.21118435506293e-05,0.000159013638002557,8.04692363048526e-05,0
"C16",0.0012288642910691,0.0259029454474784,0.0018392616064308,0.00452114153109281,0.000932618904715474,0.00104285262922276,0.149294682451773,0.00662000854911565,0.000507326453733115,0.000195700711474424,0.00125727598390016,0.000870613851447309,0.00140712622665127,0.0016696786149218,0.000750369343874032,0.00157326090891104,0.00105546134775473,0.000701837141099543,0.00111243847626496,0.000745705168833715,0.00703432323292834,0.0262058976183489,0.00145652600990219,0.00132434666012379,0.000896508738659954,0.00061374475696178,0.0111591964376393,0.000282591097740072,0.000384822218652977,0.000519260233852327,0.000192719513189496,4.18330830956198e-05,3.48949641459141e-05,0.000267414266956813,0.000133239023506563,0.000736796297346128,6.58020733367036e-05,0.00020730309972587,0.000328949840759969,6.43825854709743e-05,7.46033417368699e-05,7.42742620850278e-05,6.57449862165809e-05,0.000207811803953942,0.000108427941019911,0.000294671684713284,0.000285931247367031,0.00123702968287897,0.000679426964193972,0.000728339673543599,0.000346857149456755,0.000428634223084312,0.000187791467573849,0.00291234595676705,0
"C17",0.000659460294834434,0.00109744046617756,0.00448579860758411,0.00516455295864942,0.00962107875296342,0.00703844293292861,0.00576987568832291,0.163365841512416,0.102988651596772,0.000695817813124324,0.00625403524120629,0.00638949108689137,0.00355266981283149,0.00364291584726191,0.000522254133487009,0.00153758280912794,0.00316437388361879,0.00266740203764382,0.000997108076405417,0.000501933200927322,0.000956064666144409,0.00481468529444638,0.00142980999348071,0.00043463121389324,0.000367888299710533,0.000314894728675701,0.00114734291644015,0.000266790037095117,0.00288027798456672,0.00372740445807121,0.000197752758916109,0.000130475810628182,0.000178099070253384,0.000280880871989351,0.000395891356152242,0.000600746171639759,0.00619639294068943,0.000462796486991189,0.000408151359061994,0.000769262955806965,0.000642858654204032,0.000241306363829546,0.000158490994620622,6.93969194273691e-05,0.00114246045491455,0.00126135996835238,0.00106069956778379,0.00228862743290228,0.00268989844750336,0.000837165597450441,0.000312273355496459,0.000222643453909698,0.000758257515976956,0.000422672094799554,0
"C18",0.000523952454603059,0.000952101840364193,0.00230741286949603,0.00144573367588479,0.00102296668480273,0.00482055611691462,0.00195778611126793,0.00369684639903005,0.0964650781321814,0.000367407973643704,0.00100441406454854,0.00150916516572635,0.00131521744610263,0.00110808484546592,0.000899961661314966,0.000969245572151468,0.00208273552782824,0.00149387513797032,0.00119676382990909,0.00123453473433218,0.000973154185629289,0.00342647749358503,0.00117573634145255,0.000596833462757951,0.000918704234763315,0.00192440618869586,0.000372297947462579,0.00255714353481725,0.00191168953634118,0.0101683807489693,0.000859598317198465,0.000193450445359538,0.000469261529249968,0.000387236332680849,0.006209344642823,0.000648964780060735,0.072482410043372,0.0121602671635018,0.00608473299921486,0.0069944026524805,0.005704753368919,0.0019374511662702,0.000388075401355557,0.000159246156649484,0.00462885994976643,0.00292478109076006,0.00175482128903142,0.00683633940318142,0.00657227558221395,0.00316759965085665,0.00280882550535919,0.00151593717229707,0.00112595242541176,0.00175988880641038,0
"C19",0.012626927527404,0.00490072178432839,0.00909697749576618,0.00910029505661237,0.00213450456334552,0.00303268889021785,0.00271013484345798,0.00238742226350546,0.00128345652510023,0.0449559615793391,0.0263113818920846,0.00272780619577184,0.00269981107574659,0.00753069132994742,0.0103615480538908,0.00115443224974653,0.00159822271065874,0.00159466514632319,0.00112253838380413,0.000861133518706413,0.00223187188099498,0.00235853931910109,0.00167467471158725,0.00683635051000106,0.00187711939841237,0.00256460592908873,0.00498219196941351,0.0015951380341839,0.00552906654082415,0.00208562085183842,0.008426799777372,0.029781835087825,0.107363659357533,0.00728166488575637,0.00466006099416163,0.00160526385664158,0.00151134138744898,0.00138678358410054,0.000809482179946396,0.000788452673223806,0.000297368293795528,0.000239498189769642,0.00039775154816119,9.35787261270301e-05,0.000787652423979733,0.000683247580877685,0.000981050015837374,0.000802996456222023,0.00177465720827032,0.00130846180982201,0.00261506511415248,0.00070795090236237,0.000914276149527961,0.00172255034346902,0
